,best_fitness,fitness_evaluations,iterations,experiment,test_function
106,106.53414671563303,47,1,1,Sphere
107,106.53414671563303,48,1,1,Sphere
108,106.53414671563303,49,1,1,Sphere
109,106.53414671563303,50,1,1,Sphere
110,106.53414671563303,51,1,1,Sphere
111,106.53414671563303,52,1,1,Sphere
112,106.53414671563303,53,1,1,Sphere
113,106.53414671563303,54,1,1,Sphere
114,106.53414671563303,55,1,1,Sphere
115,106.53414671563303,56,1,1,Sphere
116,106.53414671563303,57,1,1,Sphere
117,106.53414671563303,58,1,1,Sphere
118,106.53414671563303,59,1,1,Sphere
119,106.53414671563303,60,1,1,Sphere
120,236.333815996085,1,0,2,Sphere
121,236.333815996085,2,0,2,Sphere
122,236.333815996085,3,0,2,Sphere
123,236.333815996085,4,0,2,Sphere
124,232.1891588921966,5,0,2,Sphere
125,224.10591954307063,6,0,2,Sphere
126,224.10591954307063,7,0,2,Sphere
127,224.10591954307063,8,0,2,Sphere
128,224.10591954307063,9,0,2,Sphere
129,224.10591954307063,10,0,2,Sphere
130,224.10591954307063,11,0,2,Sphere
131,224.10591954307063,12,0,2,Sphere
132,224.10591954307063,13,0,2,Sphere
133,224.10591954307063,14,0,2,Sphere
134,194.5185257310839,15,0,2,Sphere
135,194.5185257310839,16,0,2,Sphere
136,194.5185257310839,17,0,2,Sphere
137,194.5185257310839,18,0,2,Sphere
138,194.5185257310839,19,0,2,Sphere
139,194.5185257310839,20,0,2,Sphere
140,194.5185257310839,21,0,2,Sphere
141,194.5185257310839,22,0,2,Sphere
142,194.5185257310839,23,0,2,Sphere
143,194.5185257310839,24,0,2,Sphere
144,194.5185257310839,25,0,2,Sphere
145,194.5185257310839,26,0,2,Sphere
146,194.5185257310839,27,0,2,Sphere
147,194.5185257310839,28,0,2,Sphere
148,194.5185257310839,29,0,2,Sphere
149,194.5185257310839,30,0,2,Sphere
150,194.5185257310839,31,1,2,Sphere
151,158.1781466395262,32,1,2,Sphere
152,158.1781466395262,33,1,2,Sphere
153,158.1781466395262,34,1,2,Sphere
154,158.1781466395262,35,1,2,Sphere
155,158.1781466395262,36,1,2,Sphere
156,158.1781466395262,37,1,2,Sphere
157,158.1781466395262,38,1,2,Sphere
158,158.1781466395262,39,1,2,Sphere
159,158.1781466395262,40,1,2,Sphere
160,158.1781466395262,41,1,2,Sphere
161,158.1781466395262,42,1,2,Sphere
162,158.1781466395262,43,1,2,Sphere
163,158.1781466395262,44,1,2,Sphere
164,158.1781466395262,45,1,2,Sphere
165,145.92691249724243,46,1,2,Sphere
166,145.92691249724243,47,1,2,Sphere
167,145.92691249724243,48,1,2,Sphere
168,145.92691249724243,49,1,2,Sphere
169,145.92691249724243,50,1,2,Sphere
170,145.92691249724243,51,1,2,Sphere
171,145.92691249724243,52,1,2,Sphere
172,145.92691249724243,53,1,2,Sphere
173,145.92691249724243,54,1,2,Sphere
174,145.92691249724243,55,1,2,Sphere
175,145.92691249724243,56,1,2,Sphere
176,145.92691249724243,57,1,2,Sphere
177,145.92691249724243,58,1,2,Sphere
178,145.92691249724243,59,1,2,Sphere
179,145.92691249724243,60,1,2,Sphere
180,192.4996244411197,1,0,3,Sphere
181,192.4996244411197,2,0,3,Sphere
182,192.4996244411197,3,0,3,Sphere
183,192.4996244411197,4,0,3,Sphere
184,192.4996244411197,5,0,3,Sphere
185,192.4996244411197,6,0,3,Sphere
186,192.4996244411197,7,0,3,Sphere
187,192.4996244411197,8,0,3,Sphere
188,192.4996244411197,9,0,3,Sphere
189,192.4996244411197,10,0,3,Sphere
190,192.4996244411197,11,0,3,Sphere
191,192.4996244411197,12,0,3,Sphere
192,192.4996244411197,13,0,3,Sphere
193,192.4996244411197,14,0,3,Sphere
194,192.4996244411197,15,0,3,Sphere
195,192.4996244411197,16,0,3,Sphere
196,179.84749313629806,17,0,3,Sphere
197,179.84749313629806,18,0,3,Sphere
198,179.84749313629806,19,0,3,Sphere
199,179.84749313629806,20,0,3,Sphere
200,179.84749313629806,21,0,3,Sphere
201,179.84749313629806,22,0,3,Sphere
202,179.84749313629806,23,0,3,Sphere
203,179.84749313629806,24,0,3,Sphere
204,179.84749313629806,25,0,3,Sphere
205,179.84749313629806,26,0,3,Sphere
206,179.84749313629806,27,0,3,Sphere
207,170.10706695347272,28,0,3,Sphere
208,170.10706695347272,29,0,3,Sphere
209,170.10706695347272,30,0,3,Sphere
210,170.10706695347272,31,1,3,Sphere
211,170.10706695347272,32,1,3,Sphere
212,170.10706695347272,33,1,3,Sphere
213,170.10706695347272,34,1,3,Sphere
214,170.10706695347272,35,1,3,Sphere
215,132.14522487829052,36,1,3,Sphere
216,132.14522487829052,37,1,3,Sphere
217,132.14522487829052,38,1,3,Sphere
218,132.14522487829052,39,1,3,Sphere
219,132.14522487829052,40,1,3,Sphere
220,132.14522487829052,41,1,3,Sphere
221,132.14522487829052,42,1,3,Sphere
222,132.14522487829052,43,1,3,Sphere
223,132.14522487829052,44,1,3,Sphere
224,89.03803507149291,45,1,3,Sphere
225,89.03803507149291,46,1,3,Sphere
226,89.03803507149291,47,1,3,Sphere
227,89.03803507149291,48,1,3,Sphere
228,89.03803507149291,49,1,3,Sphere
229,89.03803507149291,50,1,3,Sphere
230,89.03803507149291,51,1,3,Sphere
231,89.03803507149291,52,1,3,Sphere
232,89.03803507149291,53,1,3,Sphere
233,89.03803507149291,54,1,3,Sphere
234,89.03803507149291,55,1,3,Sphere
235,89.03803507149291,56,1,3,Sphere
236,89.03803507149291,57,1,3,Sphere
237,89.03803507149291,58,1,3,Sphere
238,89.03803507149291,59,1,3,Sphere
239,89.03803507149291,60,1,3,Sphere
240,201.59672260987514,1,0,4,Sphere
241,201.59672260987514,2,0,4,Sphere
242,201.59672260987514,3,0,4,Sphere
243,201.59672260987514,4,0,4,Sphere
244,201.59672260987514,5,0,4,Sphere
245,201.59672260987514,6,0,4,Sphere
246,201.59672260987514,7,0,4,Sphere
247,201.59672260987514,8,0,4,Sphere
248,201.59672260987514,9,0,4,Sphere
249,201.59672260987514,10,0,4,Sphere
250,201.59672260987514,11,0,4,Sphere
251,201.59672260987514,12,0,4,Sphere
252,201.59672260987514,13,0,4,Sphere
253,201.59672260987514,14,0,4,Sphere
254,201.59672260987514,15,0,4,Sphere
255,201.59672260987514,16,0,4,Sphere
256,201.59672260987514,17,0,4,Sphere
257,201.59672260987514,18,0,4,Sphere
258,201.59672260987514,19,0,4,Sphere
259,201.59672260987514,20,0,4,Sphere
260,201.59672260987514,21,0,4,Sphere
261,201.59672260987514,22,0,4,Sphere
262,201.59672260987514,23,0,4,Sphere
263,201.59672260987514,24,0,4,Sphere
264,201.59672260987514,25,0,4,Sphere
265,201.59672260987514,26,0,4,Sphere
266,201.59672260987514,27,0,4,Sphere
267,201.59672260987514,28,0,4,Sphere
268,201.59672260987514,29,0,4,Sphere
269,201.59672260987514,30,0,4,Sphere
270,201.59672260987514,31,1,4,Sphere
271,123.98316608936733,32,1,4,Sphere
272,123.98316608936733,33,1,4,Sphere
273,123.98316608936733,34,1,4,Sphere
274,123.98316608936733,35,1,4,Sphere
275,123.98316608936733,36,1,4,Sphere
276,123.98316608936733,37,1,4,Sphere
277,123.98316608936733,38,1,4,Sphere
278,123.98316608936733,39,1,4,Sphere
279,123.98316608936733,40,1,4,Sphere
280,123.98316608936733,41,1,4,Sphere
281,123.98316608936733,42,1,4,Sphere
282,123.98316608936733,43,1,4,Sphere
283,123.98316608936733,44,1,4,Sphere
284,123.98316608936733,45,1,4,Sphere
285,123.98316608936733,46,1,4,Sphere
286,123.98316608936733,47,1,4,Sphere
287,123.98316608936733,48,1,4,Sphere
288,123.98316608936733,49,1,4,Sphere
289,123.98316608936733,50,1,4,Sphere
290,123.98316608936733,51,1,4,Sphere
291,123.98316608936733,52,1,4,Sphere
292,123.98316608936733,53,1,4,Sphere
293,123.98316608936733,54,1,4,Sphere
294,123.98316608936733,55,1,4,Sphere
295,123.98316608936733,56,1,4,Sphere
296,123.98316608936733,57,1,4,Sphere
297,123.98316608936733,58,1,4,Sphere
298,123.98316608936733,59,1,4,Sphere
299,113.99457713217728,60,1,4,Sphere
300,247.36439872439442,1,0,5,Sphere
301,247.36439872439442,2,0,5,Sphere
302,247.36439872439442,3,0,5,Sphere
303,234.6350791700431,4,0,5,Sphere
304,234.6350791700431,5,0,5,Sphere
305,234.6350791700431,6,0,5,Sphere
306,234.6350791700431,7,0,5,Sphere
307,234.6350791700431,8,0,5,Sphere
308,234.6350791700431,9,0,5,Sphere
309,200.4777606575195,10,0,5,Sphere
310,200.4777606575195,11,0,5,Sphere
311,200.4777606575195,12,0,5,Sphere
312,200.4777606575195,13,0,5,Sphere
313,200.4777606575195,14,0,5,Sphere
314,200.4777606575195,15,0,5,Sphere
315,200.4777606575195,16,0,5,Sphere
316,200.4777606575195,17,0,5,Sphere
317,200.4777606575195,18,0,5,Sphere
318,200.4777606575195,19,0,5,Sphere
319,200.4777606575195,20,0,5,Sphere
320,200.4777606575195,21,0,5,Sphere
321,200.4777606575195,22,0,5,Sphere
322,200.4777606575195,23,0,5,Sphere
323,200.4777606575195,24,0,5,Sphere
324,200.4777606575195,25,0,5,Sphere
325,200.4777606575195,26,0,5,Sphere
326,200.4777606575195,27,0,5,Sphere
327,200.4777606575195,28,0,5,Sphere
328,200.4777606575195,29,0,5,Sphere
329,200.4777606575195,30,0,5,Sphere
330,200.4777606575195,31,1,5,Sphere
331,151.35809377842773,32,1,5,Sphere
332,151.35809377842773,33,1,5,Sphere
333,151.35809377842773,34,1,5,Sphere
334,151.35809377842773,35,1,5,Sphere
335,125.27346933623599,36,1,5,Sphere
336,125.27346933623599,37,1,5,Sphere
337,125.27346933623599,38,1,5,Sphere
338,125.27346933623599,39,1,5,Sphere
339,125.27346933623599,40,1,5,Sphere
340,125.27346933623599,41,1,5,Sphere
341,125.27346933623599,42,1,5,Sphere
342,125.27346933623599,43,1,5,Sphere
343,125.27346933623599,44,1,5,Sphere
344,125.27346933623599,45,1,5,Sphere
345,125.27346933623599,46,1,5,Sphere
